1.0000000000000000e+00 1.0016007134794336e-08
1.0000000000000001e-01 1.0016432128168162e-12
1.0000000000000000e-02 4.4408920985006262e-16
1.0000000000000000e-03 2.2204460492503131e-16
1.0000000000000000e-04 2.2204460492503131e-16
1.0000000000000001e-05 2.2204460492503131e-16
1.0000000000000002e-06 2.2204460492503131e-16
1.0000000000000002e-07 2.2204460492503131e-16
1.0000000000000002e-08 2.2204460492503131e-16
1.0000000000000003e-09 2.2204460492503131e-16
1.0000000000000003e-10 2.2204460492503131e-16
1.0000000000000003e-11 2.2204460492503131e-16
1.0000000000000002e-12 2.2204460492503131e-16
1.0000000000000002e-13 2.2204460492503131e-16
